length,cut-off
1,0.0182783532068
2,0.0208861372794
3,0.0254524873374
4,0.0287137522842
5,0.025482800329
6,0.0189094796163
7,0.012696407506
8,0.0102304305693
9,0.00820736881985
10,0.007162345512
11,0.00591471793995
12,0.004949676298
13,0.00422965148502
14,0.00380397152895
15,0.00340922485302
16,0.0030530161656
17,0.00269506065598
18,0.00240468222157
19,0.00207462731158
20,0.00197967096453
25,0.00126669767133
30,0.000931427670756
35,0.00064110987448
40,0.000409171100196
45,0.000207141210342
50,0.000129560050374
55,8.75458439835e-05
60,6.15312141209e-05
65,3.50788781878e-05
70,2.25777932615e-05
75,1.41871415377e-05
80,9.38126818907e-06
85,5.81851159848e-06
90,3.65982252272e-06
95,2.63280918882e-06
100,1.52842526002e-06
110,6.27227735631e-07
120,2.56373557485e-07
130,1.15782687932e-07
140,4.03145893542e-08
150,1.60527996276e-08
160,6.8664417358e-09
170,2.8318649805e-09
180,1.30055501638e-09
190,4.63351782855e-10
200,1.81650974559e-10
220,3.76429043483e-11
240,5.39155172113e-12
260,1.0095969336e-12
280,1.465947946e-13
300,2.43935382091e-14
320,4.17016959177e-15
340,6.09472071054e-16
360,1.03957830377e-16
380,2.03403846866e-17
400,3.47137928066e-18
420,5.30435144611e-19
440,8.02502940091e-20
460,1.55428551014e-20
480,2.78430472686e-21
500,4.8836979758e-22
520,9.38671442631e-23
540,1.27902108229e-23
560,2.53485565543e-24
580,3.96249868906e-25
600,6.23211677117e-26
